hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hfouls,afouls,hsaves,asaves,label
52,48,10,4,12,7,9,7,2,11,2
42,58,0,10,4,16,7,9,9,0,2
52,48,4,3,10,6,12,13,3,2,0
50,50,0,5,2,12,16,9,6,0,2
62,38,5,1,11,2,6,12,3,7,1
84,16,7,1,21,2,5,9,0,9,1
50,50,5,6,10,16,14,5,4,3,2
24,76,3,8,3,21,12,14,5,2,2
63,37,7,2,14,4,9,16,1,6,1
49,51,1,4,13,10,12,10,6,2,1
40,60,2,6,3,13,20,5,3,3,2
40,60,2,1,6,6,14,24,2,2,2
57,43,7,2,13,4,7,7,4,8,0
53,47,6,1,11,2,9,5,1,6,0
67,33,3,4,11,5,13,12,6,5,1
42,58,5,6,10,12,12,12,7,5,2
69,31,14,5,19,5,11,8,4,12,1
50,50,3,1,10,3,13,15,1,5,2
54,46,5,8,12,14,8,7,5,7,2
50,50,2,3,10,14,19,22,5,6,1
53,47,4,5,6,9,14,8,5,5,1
51,49,7,3,14,9,12,10,3,5,0
60,40,5,0,13,3,1,5,0,4,1
61,39,4,1,8,2,13,4,2,5,1
54,46,7,4,16,14,17,16,4,7,2
50,50,5,12,10,15,15,11,8,2,2
54,46,2,2,7,7,10,10,5,2,1
64,36,14,1,25,4,11,7,1,10,1
47,53,4,4,7,8,20,13,5,4,0
60,40,7,4,15,5,4,10,3,6,0
33,67,8,6,16,11,16,6,4,7,2
57,43,8,3,13,8,10,17,3,10,1
45,55,2,3,5,7,12,11,6,2,2
53,47,3,3,9,9,5,13,4,2,0
58,42,3,2,9,5,14,15,3,6,0
53,47,6,5,13,7,16,16,4,8,1
60,40,3,2,5,5,3,8,2,2,1
48,52,5,7,11,13,8,5,4,5,2
53,47,8,2,16,5,17,17,5,7,0
68,32,5,3,10,4,4,10,2,5,1
72,28,5,1,10,6,10,10,1,7,0
48,52,2,6,6,11,14,16,3,1,2
63,37,3,6,8,10,9,14,10,3,1
50,50,3,5,5,9,8,12,6,4,2
38,62,0,2,1,7,7,6,2,0,2
50,50,4,8,8,15,14,18,8,6,2
52,48,1,3,4,6,10,12,2,5,1
53,47,3,3,7,6,6,12,5,2,0
50,50,3,0,10,1,11,11,2,3,1
50,50,1,2,4,7,12,6,2,1,2
38,62,2,6,7,11,18,8,5,2,2
53,47,1,5,1,12,11,7,4,0,2
50,50,1,2,6,10,7,14,2,4,0
52,48,3,4,7,11,9,9,5,4,1
42,58,2,2,15,8,19,15,3,5,2
65,35,7,2,15,5,26,7,2,7,0
70,30,9,2,19,2,5,10,3,13,1
62,38,3,3,5,6,15,18,4,5,1
50,50,1,7,6,16,6,7,9,2,2
42,58,2,9,9,18,13,6,4,2,2
43,57,3,9,5,20,7,11,4,2,2
51,49,5,4,9,9,12,20,3,7,0
50,50,6,1,15,3,11,9,2,6,0
50,50,7,3,14,5,7,18,2,6,1
53,47,1,1,10,7,7,11,1,2,2
39,61,0,5,2,9,6,5,6,0,2
50,50,7,0,11,2,7,7,0,3,1
59,41,5,4,15,5,9,16,6,6,1
50,50,2,2,6,5,17,11,2,3,1
54,46,5,1,8,4,22,14,2,5,1
64,36,4,0,20,1,10,13,1,9,1
52,48,6,1,16,4,8,9,1,8,1
38,62,3,4,4,8,11,7,3,3,2
37,63,1,7,3,14,10,16,10,1,2
67,33,13,1,16,4,8,11,0,5,1
59,41,5,1,15,3,6,10,1,5,1
51,49,3,4,5,7,9,11,5,1,1
33,67,5,5,14,7,13,13,3,6,2
54,46,2,1,6,3,12,10,2,5,0
58,42,5,1,13,3,9,16,1,5,1
65,35,6,2,15,4,3,15,1,7,1
51,49,7,2,12,6,16,6,2,5,0
57,43,4,7,10,10,6,2,4,2,1
50,50,7,3,14,7,16,9,2,3,0
60,40,4,3,9,6,9,15,3,5,1
52,48,1,5,4,10,10,11,5,5,0
70,30,17,0,30,2,10,14,0,12,1
37,63,5,8,8,13,11,12,7,6,1
50,50,2,2,4,3,18,10,4,1,0
60,40,3,2,5,3,7,7,3,4,1
50,50,3,7,8,14,14,11,11,3,2
42,58,2,6,3,13,10,13,7,5,0
53,47,1,1,8,3,18,16,1,1,2
50,50,5,2,9,8,20,6,2,5,2
47,53,3,2,8,6,8,23,2,4,2
69,31,3,3,9,12,10,12,6,5,2
30,70,2,4,5,10,14,4,4,2,2
50,50,2,1,2,8,14,13,1,2,0
41,59,2,3,4,10,11,12,4,2,0
49,51,10,1,12,4,13,8,2,8,1
45,55,5,7,10,14,11,10,7,6,2
73,27,3,2,14,3,13,7,3,2,1
50,50,2,1,5,8,18,14,2,3,2
55,45,5,5,14,8,7,13,9,8,2
54,46,10,4,18,12,9,8,3,9,0
55,45,2,3,5,5,3,5,3,3,0
30,70,3,6,5,9,9,9,2,1,2
56,44,10,2,17,4,7,15,1,7,1
49,51,2,3,11,7,13,17,4,2,1
86,14,16,0,29,1,7,8,0,12,1
37,63,0,3,6,7,1,2,3,0,2
56,44,5,0,15,2,6,13,1,7,1
50,50,1,3,5,8,15,9,6,1,1
60,40,6,3,9,7,4,15,7,6,1
33,67,1,4,3,13,19,12,5,2,2
50,50,7,2,11,11,17,15,4,6,1
62,38,3,3,6,8,10,11,5,4,1
76,24,18,3,27,6,9,8,6,15,1
50,50,2,7,7,14,10,18,8,2,2
50,50,3,1,7,6,11,14,2,5,0
64,36,7,2,12,11,12,9,3,6,2
45,55,0,1,2,4,10,4,1,0,2
45,55,5,4,10,7,10,12,5,6,2
50,50,0,4,7,7,13,16,6,1,1
50,50,6,3,14,15,12,9,5,8,2
55,45,2,2,4,8,16,14,1,6,1
50,50,2,4,2,11,10,9,6,2,2
50,50,4,1,17,8,16,8,3,6,2
65,35,9,0,14,1,5,6,0,9,1
50,50,3,7,7,8,12,11,9,4,1
62,38,5,2,16,4,14,9,4,4,1
47,53,5,1,10,2,3,7,3,6,0
51,49,5,3,7,12,5,21,6,2,1
50,50,4,2,8,6,4,10,4,5,0
68,32,10,3,20,5,10,10,5,15,0
46,54,6,2,12,8,9,6,3,4,0
60,40,1,0,12,2,6,9,0,5,1
57,43,8,3,21,7,8,13,3,8,0
45,55,0,1,2,9,6,3,2,0,0
74,26,9,0,18,0,8,3,0,3,1
46,54,5,4,9,10,21,28,4,3,1
51,49,5,3,19,8,13,14,1,4,2
24,76,2,6,7,23,9,6,3,2,2
54,46,2,2,14,9,13,9,1,2,2
28,72,2,6,7,14,17,13,4,2,2
54,46,7,4,16,16,16,22,3,6,0
61,39,4,3,23,9,27,15,2,3,0
43,57,4,5,9,10,17,8,5,4,0
70,30,15,2,27,3,8,12,2,9,1
51,49,3,7,10,16,13,19,4,3,2
44,56,3,7,15,14,14,25,5,1,0
40,60,4,5,9,9,23,8,4,4,2
79,21,5,2,12,5,3,11,2,2,1
54,46,8,1,10,7,18,24,0,5,1
38,62,6,7,17,15,12,15,5,6,2
58,42,7,8,18,14,16,30,5,6,2
81,19,4,1,29,5,7,10,0,3,0
59,41,3,0,9,4,13,13,0,3,0
61,39,8,3,16,9,9,6,2,5,1
17,83,0,12,2,27,11,8,5,0,2
34,66,1,5,10,11,15,16,3,0,2
38,62,3,3,7,17,12,14,3,3,0
43,57,5,7,13,13,11,11,4,5,2
30,70,0,6,0,20,14,6,7,0,2
76,24,2,0,12,6,16,9,0,0,1
66,34,6,4,18,8,11,24,5,9,0
60,40,8,1,21,4,12,18,0,6,1
70,30,6,4,17,11,10,10,3,5,0
85,15,1,2,3,3,12,8,3,2,1
53,47,7,1,21,5,13,15,1,5,1
64,36,4,1,25,7,10,5,1,3,1
80,20,12,1,28,4,6,9,0,8,1
21,79,2,4,8,15,18,9,2,2,2
60,40,2,4,11,6,13,11,2,2,2
77,23,12,1,30,3,10,21,1,7,1
37,63,4,3,12,11,24,19,1,2,0
39,61,3,6,9,19,8,14,4,2,2
25,75,2,3,14,10,22,8,2,2,2
45,55,5,5,19,14,16,11,4,4,0
74,26,4,2,18,3,11,18,1,4,2
68,32,3,3,13,14,20,24,2,2,0
50,50,3,3,17,21,15,13,3,2,1
27,73,0,12,1,35,12,7,7,0,2
54,46,2,3,5,4,14,13,2,2,2
37,63,5,5,9,18,10,5,4,4,0
65,35,2,1,19,5,16,7,0,2,2
38,62,2,5,8,21,13,15,4,1,0
48,52,4,8,11,18,16,17,4,4,2
52,48,5,4,19,10,13,10,3,3,1
44,56,5,7,10,14,19,13,6,3,1
45,55,6,0,18,5,15,8,0,6,0
64,36,9,0,16,2,7,10,0,6,1
43,57,5,8,13,12,8,16,4,3,2
46,54,4,3,16,7,11,13,3,3,1
71,29,10,2,23,3,18,19,2,9,1
68,32,1,5,19,9,10,12,4,0,0
67,33,7,2,24,3,12,10,2,5,1
64,36,5,9,21,13,11,16,5,5,2
38,62,4,0,12,11,9,7,0,3,1
58,42,7,2,12,10,11,11,1,5,1
62,38,7,3,16,13,13,11,2,3,1
61,39,4,4,21,10,15,18,2,3,2
43,57,4,1,10,8,13,10,0,2,1
55,45,6,1,16,2,11,9,1,4,1
29,71,3,4,9,8,7,14,3,2,2
46,54,6,2,17,10,18,14,2,3,1
80,20,11,0,25,3,6,16,0,6,1
84,16,20,0,35,4,8,19,0,11,1
53,47,5,2,11,10,14,12,1,3,1
61,39,1,3,18,14,8,12,2,1,2
29,71,2,5,6,22,10,16,5,2,0
27,73,4,9,6,18,10,12,7,2,0
32,68,1,4,7,14,4,5,2,1,2
49,51,2,6,8,18,9,8,6,1,1
58,42,7,6,25,13,10,12,2,3,0
65,35,10,3,17,10,8,19,3,7,1
53,47,6,3,12,15,3,16,3,5,1
50,50,1,8,3,19,20,11,7,1,2
40,60,3,10,5,19,13,8,6,1,2
65,35,5,3,15,8,14,16,2,4,0
57,43,3,3,14,11,17,7,1,2,2
55,45,4,1,14,2,22,18,0,3,0
68,32,10,0,25,5,12,11,0,6,1
42,58,0,7,6,12,6,13,5,0,2
66,34,5,1,16,11,14,14,0,4,0
69,31,4,2,17,6,15,11,1,1,1
69,31,5,2,12,5,16,13,2,3,1
38,62,2,5,11,13,9,19,4,2,2
42,58,2,8,6,20,11,7,7,2,2
45,55,3,2,14,10,7,18,1,3,2
42,58,2,5,7,14,14,9,3,2,2
32,68,2,4,10,15,12,21,2,1,2
55,45,3,6,18,10,19,12,4,3,2
42,58,7,3,20,15,11,11,1,4,1
42,58,3,4,13,19,15,16,2,2,2
19,81,2,8,7,23,20,15,6,2,2
58,42,2,6,5,15,24,24,4,2,2
53,47,7,2,17,11,13,14,1,3,1
52,48,4,4,9,13,15,6,2,3,2
55,45,7,0,21,9,11,12,0,6,1
24,76,3,11,6,31,11,8,8,3,2
58,42,7,2,19,7,16,13,2,6,1
69,31,7,3,20,7,10,21,2,5,1
21,79,2,10,4,19,14,20,5,1,2
53,47,1,2,7,8,16,14,2,1,0
50,50,3,7,8,14,8,10,4,3,2
36,64,2,7,4,17,12,5,3,0,2
52,48,8,2,11,9,13,17,1,6,1
56,44,6,4,20,7,16,14,3,4,1
51,49,10,2,16,9,12,6,2,8,1
46,54,4,8,10,22,7,12,8,2,1
58,42,6,5,14,8,10,17,3,5,2
72,28,8,3,25,6,16,12,3,5,1
45,55,5,2,9,12,9,14,1,4,0
26,74,2,7,4,13,11,10,3,1,2
62,38,13,1,30,2,13,3,0,9,1
55,45,3,4,8,13,13,20,4,2,1
56,44,4,4,13,12,15,7,2,2,0
48,52,5,4,16,10,14,19,2,4,2
22,78,0,8,5,17,14,6,4,0,2
35,65,4,5,8,12,12,11,3,4,2
40,60,1,4,4,14,7,10,0,1,2
74,26,10,4,23,13,13,11,3,2,1
75,25,11,5,28,12,6,12,5,8,1
44,56,4,0,14,4,25,21,0,4,1
54,46,10,0,21,2,9,17,0,8,1
48,52,5,1,10,14,12,13,1,2,1
48,52,9,4,19,12,15,15,3,7,1
50,50,5,4,10,14,11,11,4,4,1
61,39,12,2,27,10,8,12,1,9,1
63,37,7,2,19,4,14,8,1,6,0
76,24,3,2,12,4,6,19,1,1,1
44,56,1,4,4,18,7,14,4,1,0
37,63,2,8,8,20,13,13,7,1,0
65,35,5,1,18,5,10,14,1,3,1
54,46,4,2,8,7,9,10,1,3,0
32,68,2,7,9,19,21,13,6,2,2
70,30,10,2,21,7,14,18,2,7,1
77,23,8,1,20,5,16,13,1,7,1
61,39,4,3,13,12,13,4,2,3,0
59,41,5,2,12,6,12,11,2,3,1
66,34,6,6,14,15,15,18,6,5,1
51,49,3,7,17,14,9,15,5,3,2
48,52,5,2,10,10,19,15,0,3,0
